"altitude_group","hour","count"
"1134_meters",7,15
"1134_meters",8,4
"1134_meters",9,5
"1134_meters",10,9
"1134_meters",12,8
"1134_meters",13,2
"1134_meters",15,1
"1134_meters",18,2
"1134_meters",19,11
"1180_meters",7,2
"1180_meters",8,6
"1180_meters",9,1
"1180_meters",10,1
"1180_meters",11,2
"1180_meters",12,1
"1180_meters",13,1
"1180_meters",14,3
"1180_meters",15,7
"1180_meters",18,1
"1180_meters",19,2
"1235_meters",7,5
"1235_meters",8,24
"1235_meters",9,4
"1235_meters",10,1
"1235_meters",11,6
"1235_meters",12,1
"1235_meters",14,4
"1235_meters",15,9
"1235_meters",18,4
"1235_meters",19,5
"1274_meters",7,3
"1274_meters",8,6
"1274_meters",9,2
"1274_meters",10,2
"1274_meters",11,4
"1274_meters",12,1
"1274_meters",13,2
"1274_meters",14,2
"1274_meters",15,8
"1274_meters",17,5
"1274_meters",18,4
"1274_meters",19,2
