,filename,Start (s),End (s)
0,WPT001_20241002_184500,33,36
1,WPT001_20241002_184500,42,45
2,WPT001_20241002_184500,57,60
3,WPT002_20241002_184500,6,9
4,WPT002_20241002_190000,3,6
5,WPT002_20241003_080000,57,60
6,WPT002_20241003_081500,21,24
7,WPT002_20241003_081500,30,33
8,WPT002_20241003_101500,30,33
9,WPT002_20241003_123000,54,57
10,WPT003_20241003_083000,36,39
11,WPT003_20241003_104500,6,9
12,WPT003_20241003_104500,9,12
13,WPT003_20241003_104500,12,15
14,WPT003_20241003_104500,33,36
15,WPT003_20241003_104500,39,42
16,WPT004_20241002_181500,6,9
17,WPT004_20241002_181500,39,42
18,WPT004_20241002_191500,6,9
19,WPT004_20241002_191500,18,21
20,WPT004_20241002_191500,30,33
21,WPT004_20241003_074500,54,57
22,WPT006_20241002_173000,15,18
23,WPT006_20241002_173000,54,57
24,WPT006_20241002_190000,48,51
25,WPT006_20241003_083000,30,33
26,WPT006_20241003_090000,15,18
27,WPT006_20241003_090000,24,27
28,WPT006_20241003_111500,27,30
29,WPT006_20241003_114500,3,6
30,WPT006_20241003_151500,18,21
31,WPT007_20241003_081500,12,15
32,WPT008_20241003_083000,30,33
33,WPT008_20241003_090000,9,12
34,WPT008_20241003_151500,9,12
35,WPT008_20241003_153000,0,3
36,WPT008_20241003_153000,36,39
37,WPT008_20241003_153000,45,48
38,WPT009_20241003_074500,0,3
39,WPT009_20241003_074500,3,6
40,WPT009_20241003_074500,6,9
41,WPT009_20241003_074500,15,18
42,WPT009_20241003_074500,36,39
43,WPT009_20241003_074500,42,45
44,WPT009_20241003_074500,45,48
45,WPT009_20241003_074500,51,54
46,WPT009_20241003_074500,57,60
47,WPT009_20241003_094500,39,42
48,WPT009_20241003_131500,21,24
49,WPT009_20241003_131500,27,30
50,WPT010_20241003_074500,54,57
51,WPT010_20241003_111500,9,12
52,WPT011_20241002_184500,0,3
53,WPT011_20241003_094500,3,6
54,WPT011_20241003_094500,18,21
55,WPT011_20241003_094500,45,48
56,WPT011_20241003_101500,45,48
57,WPT011_20241003_110000,51,54
58,WPT011_20241003_114500,15,18
59,WPT011_20241003_114500,39,42
60,WPT011_20241003_114500,57,60
61,WPT011_20241003_124500,36,39
62,WPT012_20241003_154500,54,57
